-1.2700992	52.5666932	400
-1.2699384	52.5619061	400
-1.263019	52.5554078	400
-1.2541841	52.5475184	400
-1.2465288	52.540495	400
-1.2401869	52.5326147	400
-1.2336828	52.5245997	400
-1.2259636	52.517194	400
-1.2136322	52.5098898	400
-1.2038176	52.5040748	400
-1.1928323	52.4974391	400
-1.194034	52.4881207	400
-1.1951068	52.4795387	400
-1.1918369	52.4720242	400
-1.1867169	52.4658412	400
-1.1792711	52.4570816	400
-1.1747006	52.4516027	400
-1.1649588	52.4447498	400
-1.1540154	52.4379744	400
-1.1503676	52.4294316	400
-1.1512688	52.418885	400
-1.1521915	52.4090296	400
-1.1485866	52.4016465	400
-1.1369995	52.3970248	400
-1.1250899	52.3913924	400
-1.1132605	52.3842199	400
-1.1045871	52.3755723	400
-1.098959	52.3674135	400
-1.0945985	52.3587195	400
-1.0939092	52.348569	400
-1.0930005	52.3380804	400
-1.0887264	52.3281753	400
-1.0783499	52.3206405	400
-1.0669489	52.3123699	400
-1.0585156	52.3062122	400
-1.0562035	52.2973703	400
-1.0546022	52.2901056	400
-1.0527904	52.2806896	400
-1.0508093	52.2703808	400
-1.048588	52.2600749	400
-1.0465539	52.2510158	400
-1.0448875	52.2408485	400
-1.0435572	52.2311898	400
-1.0422826	52.2218359	400
-1.038173	52.213729	400
-1.0285543	52.2050699	400
-1.0225026	52.199634	400
-1.0135702	52.1915741	400
-1.008316	52.1868203	400
-1.0021281	52.1812078	400
-0.9983329	52.1725248	400
-0.9947196	52.1642564	400
-0.9882207	52.1568594	400
-0.9755985	52.1522517	400
-0.9632034	52.1477263	400
-0.9540684	52.1444027	400
-0.9423746	52.1401279	400
-0.9413634	52.1305271	400
-0.9403662	52.1208505	400
-0.9394181	52.1116493	400
-0.9402212	52.1029311	400
-0.9454522	52.0943055	400
-0.9503944	52.0861544	400
-0.9494694	52.0763151	400
-0.9485576	52.0666146	400
-0.9477306	52.0578142	400
-0.946817	52.048091	400
-0.946028	52.039897	400
-0.9472323	52.0314287	400
-0.9484916	52.0225789	400
-0.9498512	52.0129854	400
-0.9507076	52.0070322	400
-0.9520873	51.9971958	400
-0.9507438	51.9887667	400
-0.9475866	51.9792887	400
-0.9443694	51.9698615	400
-0.9408105	51.9606756	400
-0.9371574	51.9519178	400
-0.9334999	51.9431829	400
-0.9278512	51.9360497	400
-0.9193647	51.9327954	400
-0.9071421	51.9280512	400
0.3151728	52.2751531	400
0.3151326	52.2646157	400
0.3129117	52.2577732	400
0.3101008	52.2488937	400
0.3070913	52.2393755	400
0.3029886	52.230908	400
0.2970864	52.220745	400
0.2913599	52.2110753	400
