16064	1.75	33000;11000		6.09	400	15.87	Ark Data Centres	2.60	Luckington WwTW
16473	0.22	33000		17.48	132	34.71	Edinburgh SC-3	10.18	Coulter Water Treatment Works
16723	1.27	400000	Cottam Substation	0.99	400	-1.00		0.83	Rampton STW
17143	1.81	275000;132000	Dounreay Substation	0.51	132	-1.00		15.21	Thurso Waste Water Treatment Works
17405	2.03	400000;25000	Market Harborough Substation	1.72	400	15.97	The Horizon Centre	1.72	Braybrooke STW
17552	1.29	400000	New Deer Substation	0.35	400	-1.00		11.20	GPSS Turriff
17560	5.39	132000;33000		1.39	400	-1.00		2.85	West Acre River Road STW
17702	2.60	400000;275000	Monk Fryston substation	0.81	132	11.72	Unknown Data Centre	4.11	Sutton Sewage Treatment Works
17964	0.90	132000	Holmfield	0.19	132	5.56	Unknown Data Centre	5.64	Paradise Green Pumping Station
18504	6.26	33000;11000	Fyvie Primary Substation	5.94	400	-1.00		5.63	Unnamed Water Works Facility
18777	0.39	400000;132000;33000	Sundon Substation	0.05	132	3.73	Unknown Data Centre	0.16	Chalton Sewage Treament Works
18957	1.03	132000		0.10	132	8.60	Unknown Data Centre	2.18	Middle Claydon STW
19130	3.04	400000		1.36	132	12.99	nLighten Chester	1.04	Northop WwTW
19212	2.81	400000	Peterhead Substation	0.06	275	-1.00		2.57	ASCO Waste Management
19561	0.62	400000;132000	Amersham Main	0.47	132	9.30	Unknown Data Centre	4.47	Cock Lane Pumping Station
19671	0.36	400000;25000	Market Harborough Substation	0.33	400	17.36	The Horizon Centre	1.01	Braybrooke STW
20670	5.65	33000;11000	Tivetshall Primary Substation	2.91	400	-1.00		2.34	Hardwick Mill Lane STW
7189	3.79	33000		11.14	400	9.43	Unknown Data Centre	2.30	Mildenhall STW
8163	2.03	400000;25000	Bull's Lodge Substation	0.23	132	22.24	Imperium 315	4.90	Great Leighs STW
9248	0.69	132000	Devonside Substation	0.59	132	32.27	Edinburgh SC-3	2.86	Alloa Wastewater Treatment Works
9807	3.75	400000;220000	Triton Knoll Wind Farm Substation	3.75	400	-1.00		2.89	Swineshead STW (Lincs)
10917	3.52	33000;11000	Stow 84	1.42	132	-1.00		2.92	CLH-PS Stow Park
16887	0.72	33000;11000		1.16	132	3.21	CityFibre Cabinets	3.45	Rayleigh Western STW
18343	2.82	132000;33000;11000	Checkerhouse Substation	1.36	275	-1.00		1.25	Elkesley STW
15427	0.52	400000;132000	Gretna Substation	0.31	400	-1.00		4.86	Gretna STW
10309	0.86	400000	Coryton South Substation	0.84	400	8.54	Imperium 315	1.26	Unnamed Oil Facility
15253	0.96	400000	West Burton Substation	0.33	400	-1.00		1.82	North Wheatley (STW)
18670	1.70	33000;11000		0.41	275	2.61	Ark Data Centres	1.83	Thingley WwTW
19157	0.20	33000;11000	Broad St Barry Primary Substation	2.06	132	22.44	Brean Cable Landing Station	3.37	Unnamed Wastewater Plant Facility
10013	0.50	400000;132000	Cellarhead Substation	0.24	400	13.59	Unknown Data Centre	3.70	Cheddleton (STW)
10535	0.58	400000;220000	Hunterston North Substation	0.47	400	-1.00		2.59	Water Filter Station
10536	0.53	275000	Kincardine Substation	0.06	275	25.19	Edinburgh SC-3	0.97	Kincardine Wastewater Treatment Works
11867	0.18	400000		0.11	400	-1.00		2.40	WWTW
12651	0.56	400000;132000	Chickerell Substation	0.35	400	-1.00		4.50	Weymouth Wastewater Treatment Works
12926	1.14	66000	TWIN BRIDGE WF	0.50	400	-1.00		7.22	Rawcliffe Petroleum Storage Depot
13600	0.88	132000;33000;11000	Sleaford Substation	0.88	132	-1.00		1.41	Sleaford Drove Lane (Wp) STW
13977	7.22	33000		1.13	400	-1.00		1.02	Navenby STW
14935	1.57	33000	Ayshford Court Farm Solar Park Substation	1.13	400	-1.00		1.35	Burlescombe STW Burlescombe
14988	1.45	400000;275000;132000	Denny North Substation	0.38	275	24.56	DataVita DV1	4.41	Cowie Wastewater Treatment Works
15005	1.30	400000;275000;132000	Harker Substation	0.47	132	-1.00		5.82	Longtown STW
15348	1.93	132000		1.04	400	26.02	West Cambridge Data Centre	0.91	Hail Weston STW
15529	2.62	33000;11000		7.53	132	-1.00		4.70	Lochmaben WwTW
15566	1.57	33000;11000	Thorpe Road Substation	3.74	400	-1.00		1.57	Asselby Sewage Treatment Works
15956	0.47	400000;275000;132000	Harker Substation	0.34	275	-1.00		4.98	Carlisle STW
16111	0.44	400000;132000	Cellarhead Substation	0.25	400	13.19	Unknown Data Centre	4.24	Cheddleton (STW)
16114	1.04	400000;132000	Legacy Substation	0.39	132	24.99	nLighten Chester	5.83	Five Fords Wastewater Treatment Works
16245	1.16	33000	Ninfield Local Primary	0.92	132	-1.00		2.25	Hooe WTW
16410	0.50	33000;11000		3.86	400	19.53	Unknown Data Centre	1.92	Ely-New STW
16628	1.44	400000;132000	Bicker Fen Substation	0.80	400	-1.00		4.06	Swineshead STW (Lincs)
16675	3.03	33000;11000	Infinity Park Substation	0.31	132	-1.00		2.14	Findern STW
16769	0.92	400000;132000	Stocking Pelham Substation	0.22	400	18.78	Kao Data KLON-02	1.84	Furneux Pelham Wastewater Treatment Works
17035	0.35	33000	Felindre Pumping Station Substation	0.14	400	19.53	Reynoldston Cable Landing Station	1.31	Felindre Water Treatment Works
17245	1.52	33000;11000	Southwater Primary Substation	1.06	400	1.46	IBM Horsham	1.56	Dragons Green WTW
17754	0.68	132000		0.34	400	-1.00		2.02	Somersham STW (Suffolk)
17940	1.01	33000;11000	Mulbarton Primary Substation	0.02	132	-1.00		2.27	Stoke Holy Cross STW
18195	4.70	33000		1.74	132	-1.00		2.28	Willowbank
18554	3.03	33000;11000	Tivetshall Primary Substation	1.03	400	-1.00		2.40	Forncett St Peter Low Road STW
18638	2.12	400000;275000	High Marnham Substation	0.39	275	-1.00		1.99	Low Marnham (STW)
19029	5.71	132000	Peterhead Grange	1.02	400	-1.00		3.22	Willowbank
19288	1.35	400000	Thornton Substation	0.91	400	-1.00		2.16	Pocklington STW
19491	1.79	33000;11000	Tuckswood Primary Substation	1.21	132	-1.00		2.16	Stoke Holy Cross STW
19578	0.99	132000		0.35	400	11.88	iomart Glasgow Data Centre	3.43	Unnamed Wastewater Plant Facility
19649	1.39	400000;275000;66000;11000	Feckenham Substation	0.57	275	7.99	Evoque Data Center Solutions	0.43	Astwood Bank (STW)
9427	0.15	275000		0.15	275	27.36	Evoque Data Center Solutions	1.13	Lea Marston (STW)
17458	1.53	33000	Mauxhall Farm	1.56	400	-1.00		3.22	Unnamed Wastewater Plant Facility
12458	0.17	132000;33000;25000	Basildon Grid	0.17	132	6.74	Imperium 315	5.39	Nags Head Lane STW
11553	0.40	132000	Staythorpe B Substation	0.40	132	29.32	Experian	4.24	Unnamed Wastewater Plant Facility
17649	0.15	400000;275000;132000	Harker Substation	0.03	275	-1.00		4.62	Carlisle STW
15672	4.24	33000		0.83	132	9.91	Starwood House	1.00	Cottered Wastewater Treatment Works
12820	2.55	400000;275000	Kilmarnock South Substation	0.70	275	-1.00		7.23	Barskimming WTW Works
14101	4.66	33000;11000		3.15	400	-1.00		0.71	Swinderby Sewage Treatment Works
14913	0.38	400000	Pembroke Substation	0.12	132	-1.00		1.79	Pembroke Oil Refinery Wastewater treatment works
15277	0.70	33000	Little Neath Solar Farm	1.14	132	-1.00		2.18	Castlemartin Sewage Treatment Works
9904	0.38	400000;25000	Ryhall Substation	0.38	400	19.55	Unknown Data Centre	0.92	Ryhall STW
12179	0.50	400000;132000	Cellarhead Substation	0.24	400	13.59	Unknown Data Centre	3.70	Cheddleton (STW)
14283	0.71	132000;13800	Keith Greener Grid Park	0.67	132	-1.00		-1.00	
15472	0.08	33000;11000	Alpoco	0.10	132	-1.00		1.31	Holyhead Waste Water Treatment Works
15527	0.57	275000	Kincardine Substation	0.46	275	26.23	Edinburgh SC-3	1.91	Airth Waste Water Treatment Works
15980	8.51	33000	Douglas West Substation	1.15	400	-1.00		10.57	Camps Water Treatment Works
14542	3.37	400000;132000;33000	Eccles Substation	0.76	400	-1.00		2.53	WWTW
14673	0.57	275000;132000	Washway Farm Substation	0.53	275	12.63	Hibernia Southport Cable Landing Station	1.26	Westhead WwTW
15001	3.18	33000	Hall Farm WF Routh	1.11	132	-1.00		3.01	Weaverthorpe/STW
15164	0.30	400000;275000	Monk Fryston substation	0.12	275	9.13	Unknown Data Centre	3.58	Sutton Sewage Treatment Works
16085	1.54	33000;11000	Gedling Substation	2.27	132	13.52	Experian	2.49	Stoke Bardolph (STW)
9240	3.78	33000;11000	Longstanton Primary Substation	0.41	132	6.90	West Cambridge Data Centre	3.12	Uttons Drove Sewage Treatment Works
10467	1.47	33000;11000	Torryburn Primary Substation	0.37	132	13.17	Brightsolid	6.86	Kemnay Wastewater Treatment Plant
12893	0.40	132000	Staythorpe B Substation	0.40	132	29.32	Experian	4.24	Unnamed Wastewater Plant Facility
13217	1.12	33000;11000	Cemaes Bay	0.19	132	-1.00		0.65	Llanfechell WwTW
14763	0.20	275000	Newarthill Substation	0.16	275	1.17	DataVita DV1	3.95	WWTW
14987	12.08	33000		18.10	275	-1.00		15.75	Thurso Waste Water Treatment Works
15426	0.92	132000;33000	Glenniston  Substation	0.89	132	19.46	Pulsant Edinburgh South Gyle SC-1	5.57	Silver Sands Wastewater Treatment Works
16381	2.04	132000	Mybster Substation	0.86	132	-1.00		6.49	Halkirk Wastewater Treatment Works
17837	1.34	400000;132000	Didcot Substation	1.10	400	2.10	AWS Didcot Data Centre	1.66	Didcot Sewage Treatment Works
18028	2.97	33000;11000	West Felton Substation	0.19	400	-1.00		3.05	Hordley - Sycamore View (STW)
19251	2.96	400000	Thornton Substation	0.31	400	-1.00		0.60	Melbourne Sewage Treatment Works
19553	2.25	400000;132000	Cellarhead Substation	0.60	400	13.72	Unknown Data Centre	4.82	Cheddleton (STW)
9723	0.54	400000;275000;132000	Blackhillock Substation	0.16	132	-1.00		-1.00	
9754	1.38	33000;11000	Mulbarton Primary Substation	0.39	132	-1.00		2.81	Stoke Holy Cross STW
13980	0.19	33000	Till House Solar Park Substation	0.32	132	-1.00		3.86	Aller Grove STW Whimple
8986	0.23	400000;150000	Rampion Wind Farm Onshore Substation	0.05	132	9.87	IBM Horsham	1.77	Wineham Wastewater Treatment Works
18956	0.60	400000;25000	Market Harborough Substation	0.57	400	17.68	The Horizon Centre	1.70	Braybrooke STW
12661	0.32	33000	Abergelli Pv Generation	0.54	400	20.18	Reynoldston Cable Landing Station	0.93	Felindre Water Treatment Works
15195	1.61	400000	Rowdown Substation	1.26	400	8.77	Pulsant South London	7.15	Kenley Works
15573	1.11	400000;132000;33000	Sundon Substation	0.33	132	5.14	Unknown Data Centre	0.88	Chalton STW
15883	1.11	400000;132000;33000	Sundon Substation	0.33	132	5.14	Unknown Data Centre	0.88	Chalton STW
7614	1.82	400000;132000	Walpole Substation	0.27	132	17.90	Positive Park	1.66	Walpole St Peter French's Road STW
10583	0.33	400000;132000	Osbaldwick Grid Substation	0.28	132	36.57	Unknown Data Centre	4.01	Holtby/STW
11201	0.21	400000	Richborough 400kV Substation	0.15	400	5.74	The Bunker - South East Data Centre	0.58	Weatherlees Hill A & B Wastewater Treatment Works
14042	2.52	132000	Brechin Grid	0.53	132	-1.00		4.30	Unnamed Oil Facility
15779	0.58	132000;33000;11000	Grovehurst Substation	0.27	400	16.79	CXD Infrastructure Solutions	1.28	Sittingbourne WTW
18348	0.35	400000	Grain Synchronous Condenser	0.17	400	14.42	CityFibre Cabinets	0.68	Grain WTW
20451	0.71	33000	Loughor 33kV Solar Park	0.78	275	16.01	CGI Datacenter	0.63	West Aberthaw Wastewater Treatment Works
19565	0.38	400000;275000	Lackenby Substation	0.18	400	6.85	Unknown Data Centre	3.99	CSG Recyc-Oil
11680	0.69	66000	Eggborough 6073	1.50	400	16.31	Unknown Data Centre	1.51	Eggborough Sewage Treatment Works
14539	0.29	400000		0.16	400	4.53	RBS Data Centre	6.60	Unnamed Wastewater Plant Facility
16644	0.61	66000	Eggborough 6073	1.44	400	16.37	Unknown Data Centre	1.43	Eggborough Sewage Treatment Works
17826	0.92	33000	Ninfield Local Primary	1.06	400	-1.00		2.77	Powdermill Water Treatment Works
17842	1.58	275000	Hedon 275kV Substation	0.73	132	-1.00		3.87	Lelly Sewage Treatment Works
18182	1.76	33000;11000	Chester Gates	0.27	132	1.96	nLighten Chester	3.41	Sutton Hall Water Treatment Works
19467	5.37	33000;11000	Harrogate West	6.61	132	4.56	VocaLink	3.07	Bearswood Grove/STW
14099	0.09	400000		0.04	275	23.47	Unknown Data Centre	6.45	Armthorpe (STW)
10936	1.56	132000		0.33	132	5.82	Vantage Data Centers - CWL13	0.67	Nash Sewerage Treatment Works
13627	0.51	400000;275000	Smeaton Substation	0.34	275	3.79	RBS Melville Gate Data Centre	5.05	Hardengreen CSO
18621	1.94	33000;11000	Hapton Primary Substation	1.93	400	-1.00		2.83	Ashwellthorpe STW
18025	3.40	132000	Herne Bay Substation	1.65	400	13.39	The Bunker - South East Data Centre	3.19	Westbere WwTW
18107	0.79	400000;275000;132000	Hurst Substation	0.14	400	5.80	Unknown Data Centre	3.41	Jolly Farmers Trunk Sewers Compound
10466	0.95	275000;33000	Charlotte Street Substation	1.01	275	1.78	DataVita DV2	2.91	Kinning Park Treatment Works
10596	0.30	400000;275000;132000	Windyhill Substation	0.14	132	10.09	DataVita DV2	4.78	Dalmuir Waste Water Treatment Works
11406	1.25	66000;11000	Amberton Road	4.82	275	8.52	DXC Wynyard Data Center	4.48	Dalton Piercy Water Treatment Works
11656	0.65	275000;132000	Berkswell 275kV	0.39	275	19.38	Evoque Data Center Solutions	2.85	Berkswell (STW)
13404	1.71	132000;33000	Bathgate	0.27	132	16.16	Edinburgh SC-3	3.32	Oil States
13576	1.10	400000;132000;66000	Spennymoor Substation	0.25	400	16.90	DXC Wynyard Data Center	1.03	East Howle STW
13607	2.12	33000	Says Farm PV Substation	1.05	132	18.03	Ark Data Centres	3.34	Pucklechurch WwTW
13643	0.51	132000	Old Green Substation	0.51	132	25.61	Ark Data Centres	3.17	Alveston Wastewater Treatment Works
13880	0.79	400000;132000	Bolney Substation	0.19	132	9.55	IBM Horsham	0.68	Wineham Wastewater Treatment Works
14290	0.61	132000;33000	Walsoken Substation	0.45	132	12.81	Positive Park	3.39	Unnamed Wastewater Plant Facility
14677	24.82	33000;11000		56.44	132	-1.00		21.12	Poolewe Water Works
15082	0.24	33000	Beal	0.65	400	11.14	Unknown Data Centre	2.91	Sutton Sewage Treatment Works
15173	1.82	400000;275000	Smeaton Substation	1.34	132	2.11	RBS Melville Gate Data Centre	2.83	Hardengreen CSO
15375	2.37	33000	Beal	0.49	400	13.37	Unknown Data Centre	3.23	West Haddlesey Sewage Treatment Works
15599	1.55	33000		0.82	132	-1.00		4.50	Longtown STW
15607	0.45	275000;132000	Warley Substation	0.18	132	8.03	Fujitsu Data Centre	1.61	Nags Head Lane STW
15814	0.64	33000;750	Upper Halliford DC Traction Substation	2.63	275	4.34	Serverfarm LON1 – London Data Center	0.95	Ashford Common Advanced Water Treatment Works
16050	1.08	33000;11000	Swansea North Local Substation	0.24	132	18.00	Reynoldston Cable Landing Station	3.29	Felindre Water Treatment Works
16201	0.62	275000		0.16	132	-1.00		0.98	Pumping Station
16212	2.12	33000	Ansty Substation	0.65	132	10.68	Unknown Data Centre	4.15	Brinklow (STW)
17005	0.31	66000;11000	Tees Industrial	1.84	400	5.53	Unknown Data Centre	0.16	Vopak Storage
17014	1.01	33000		1.43	275	2.23	DataVita DV1	4.28	WWTW
17028	1.72	400000;200000	Walney Wind Farm Extension Substation	0.73	132	-1.00		2.69	Unnamed Wastewater Plant Facility
17037	0.51	132000;33000		0.31	132	3.02	nLighten Chester	1.78	Sutton Hall Water Treatment Works
17161	0.64	33000;750	Upper Halliford DC Traction Substation	2.63	275	4.34	Serverfarm LON1 – London Data Center	0.95	Ashford Common Advanced Water Treatment Works
17325	0.97	132000;33000	Kintore Grid Supply Point	0.21	132	14.27	Brightsolid	5.72	Kemnay Wastewater Treatment Plant
17376	0.55	400000;132000	Hutton Substation	0.19	400	-1.00		5.65	Kendal Waste Water Treatment Works
17424	0.14	275000	Hedon 275kV Substation	0.21	132	-1.00		5.34	Lelly Sewage Treatment Works
17502	1.35	400000;275000	Monk Fryston substation	0.81	275	8.03	Unknown Data Centre	3.54	Sutton Sewage Treatment Works
17503	1.20	400000;132000	Cowley Substation	0.58	132	8.06	University Shared Data Centre	2.01	Nuneham Courtenay Wastewater Treatment Works
17651	2.33	33000;11000		0.67	400	10.47	Starwood House	1.65	Newspring WTW
17655	0.27	400000;132000	Rhigos Supergrid Substation	0.18	132	25.45	Centerprise International (Distribution)	0.62	Hirwaun Waste Water Treatment Works
17833	0.25	33000	EPR Substation	0.92	400	-1.00		2.75	Water Works
17982	1.76	33000	Drakelow Solar Farm	0.40	400	-1.00		1.99	Barton (STW)
18049	0.86	132000	Knaresborough	0.86	132	7.67	VocaLink	6.67	Harlow Hill Water Treatment Works
18249	1.14	66000;20000	Hawthorn Pit	0.27	275	18.90	DXC Wynyard Data Center	4.86	Seaham Sewage Treatment Works
18852	0.48	400000	Thornton Substation	0.34	400	-1.00		2.24	Melbourne Sewage Treatment Works
19201	1.64	400000;275000	Cilfynydd Supergrid Substation	0.32	132	6.25	Centerprise International (Distribution)	0.47	Cilfynydd Waste Water Treatment Works
19403	0.14	400000		0.06	132	7.22	Sky Chilworth	1.17	Slowhill Copse Wastewater Treatment Works
7017	0.18	132000	Drax	0.07	132	-1.00		2.20	Sedbusk/STW
9014	1.19	400000	Thornton Substation	1.07	400	-1.00		2.04	Pocklington STW
9545	0.13	400000	Middleton Substation	0.13	400	-1.00		1.31	GED Environmental Services
9684	2.57	132000	Cumberhead Collector Substation	2.81	400	-1.00		6.23	WWTW
9969	0.38	275000;132000;33000	Upper Boat Supergrid Substation	0.11	275	8.15	Centerprise International (Distribution)	4.81	Rhiwsaeson Wastewater Treatment Works
11477	3.30	66000	Eggborough 6073	1.73	400	19.94	Unknown Data Centre	1.79	Chapel Haddlesey Sewage Treatment Works
11035	3.38	132000	Peterhead Grange	1.72	132	-1.00		4.71	Willowbank
13156	4.43	66000	Skerneside Substation	1.82	132	11.39	Unknown Data Centre	2.74	Bishopton STW
14932	1.29	275000	Thorpe Marsh 275	0.73	275	23.27	Unknown Data Centre	6.45	Armthorpe (STW)
17482	2.27	33000;11000		0.31	400	11.20	Starwood House	1.85	Dunton Sewage Works
17387	0.42	132000		0.20	275	6.28	The Chess Building	3.61	Blackbirds Sewage Treatment Works
15191	1.25	132000	Simonswood Substation	0.29	132	16.29	Iron Mountain	4.87	Melling Wastewater Treatment Works
17780	7.26	400000	Branxton Substation	2.25	400	-1.00		9.19	Innerwick Wastewater Treatment Works
19017	0.98	33000;11000		2.20	132	-1.00		1.03	Unnamed Water Works Facility
18500	1.93	275000;132000	Spittal Substation	1.75	275	-1.00		5.22	Halkirk Wastewater Treatment Works
15422	6.06	132000		1.55	132	-1.00		18.52	Unnamed Water Works Facility
18490	1.60	33000;11000	Beaumaris	8.23	400	-1.00		0.98	Llanfaes Waste Water Treatment Works
10808	0.22	400000;275000	Stalybridge Substation	0.10	132	9.29	Unknown Data Centre	0.68	Mossley STW
11612	0.92	132000;33000	Norrington Substation	0.45	400	5.74	Unknown Data Centre	1.63	Melksham Water Recycling Centre
14538	0.84	400000	Neilston Substation	0.31	400	13.79	iomart Glasgow Data Centre	4.18	Uplawmoor Water Works
14545	1.90	275000;33000	Ayr Substation	0.29	275	-1.00		3.53	CLH-PS Heathfield
14551	3.12	33000		0.25	132	-1.00		2.37	Pica WwTW
14729	0.16	275000	Greystones B	0.13	275	6.63	Unknown Data Centre	3.76	CSG Recyc-Oil
15252	0.96	400000	West Burton Substation	0.33	400	-1.00		1.82	North Wheatley (STW)
16197	0.31	275000;132000;33000	Dalmarnock	0.08	132	4.51	DataVita DV2	0.67	Dalmarnock Waste Water Treatment Works
16478	2.69	33000	Knockmore Hill 33kV Substation	0.50	275	15.23	Microsoft Ireland	2.68	Unnamed Wastewater Plant Facility
16656	0.17	275000;132000;25000	Currie Substation	0.14	275	2.89	Edinburgh SC-2	4.26	Marchbank Water Treatment Works
16787	1.13	400000		0.37	400	-1.00		3.12	WWTW
18593	0.53	132000;33000		0.32	132	15.91	University Shared Data Centre	1.13	Witney WwTW
18649	1.43	132000		0.92	132	3.96	Imperium 315	1.97	Wickford STW
